CustomerID,Age,Gender,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,HoursSpentOnApp,NumberOfDevicesRegistered,SatisfactionScore,NumberOfAddress,Complain,OrderCount,DaySinceLastOrder,CashbackAmount,Churn
56433,48,Female,36,Mobile,2,6.0,4.7,2,5,3,0,45,1,400.0,0
56434,29,Male,8,Mobile,3,17.5,2.6,3,2,1,0,15,7,110.0,0
56435,34,Female,16,Desktop,1,9.0,3.9,3,4,2,0,26,3,165.0,0
56436,43,Male,25,Mobile,2,10.0,4.1,2,5,2,0,37,2,275.0,0
56437,20,Female,1,Mobile,3,24.0,1.1,3,1,1,1,1,25,25.0,1
56438,31,Male,9,Desktop,1,15.5,3.0,4,3,2,0,19,5,125.0,0
56439,46,Female,30,Mobile,2,7.0,4.5,2,5,3,0,40,1,340.0,0
56440,28,Male,7,Mobile,3,18.0,2.5,3,3,1,0,14,6,100.0,0
56441,35,Female,18,Desktop,1,10.5,3.7,3,4,2,0,28,3,185.0,0
56442,40,Male,22,Mobile,2,12.0,4.0,2,5,2,0,33,2,245.0,0
56443,26,Female,5,Mobile,3,20.0,2.1,4,2,1,1,8,9,80.0,1
56444,33,Male,14,Desktop,1,8.0,3.6,3,4,2,0,24,4,150.0,0
56445,47,Female,31,Mobile,2,5.5,4.6,2,5,3,0,39,1,330.0,0
56446,22,Male,3,Mobile,3,22.0,2.3,3,2,1,0,6,10,75.0,0
56447,39,Female,21,Desktop,1,10.2,3.9,4,4,2,0,31,3,215.0,0
56448,29,Male,8,Mobile,2,17.0,2.8,3,3,1,0,13,6,95.0,0
56449,42,Female,26,Mobile,3,9.8,4.2,2,5,2,0,37,2,270.0,0
56450,23,Male,2,Desktop,1,24.0,1.6,3,1,1,1,3,18,40.0,1
56451,35,Female,17,Mobile,2,11.2,3.7,4,4,2,0,27,4,170.0,0
56452,51,Male,38,Desktop,3,4.0,4.9,2,5,3,0,48,1,420.0,0
56453,26,Female,6,Mobile,1,19.5,2.4,3,2,1,0,10,7,85.0,0
56454,33,Male,12,Desktop,2,13.5,3.5,3,3,2,0,21,5,135.0,0
56455,40,Female,23,Mobile,3,10.5,4.0,4,5,2,0,34,2,230.0,0
56456,21,Male,1,Mobile,1,25.5,1.3,3,1,1,1,2,22,35.0,1
56457,37,Female,15,Desktop,2,9.5,3.8,3,4,2,0,25,3,155.0,0
56458,44,Male,29,Mobile,3,8.0,4.3,2,5,3,0,38,1,290.0,0
56459,27,Female,5,Mobile,1,20.5,2.2,4,2,1,1,7,11,75.0,1
56460,30,Male,10,Desktop,2,15.0,3.3,3,3,2,0,17,5,105.0,0
56461,41,Female,24,Mobile,3,11.5,4.1,2,4,2,0,32,3,205.0,0
56462,25,Male,4,Mobile,1,18.5,1.9,3,1,1,1,3,14,45.0,1
56463,38,Female,20,Desktop,2,8.8,4.0,3,5,2,0,30,2,195.0,0
56464,45,Male,28,Mobile,3,10.0,4.3,2,5,3,0,39,1,310.0,0
56465,22,Female,2,Mobile,1,23.5,1.5,3,1,1,1,2,20,30.0,1
56466,32,Male,11,Desktop,2,14.0,3.2,4,3,2,0,18,6,120.0,0
56467,48,Female,36,Mobile,3,6.0,4.7,2,5,3,0,45,1,400.0,0
56468,29,Male,8,Mobile,1,17.5,2.6,3,2,1,0,15,7,110.0,0
56469,34,Female,16,Desktop,2,9.0,3.9,3,4,2,0,26,3,165.0,0
56470,43,Male,25,Mobile,3,10.0,4.1,2,5,2,0,37,2,275.0,0
56471,20,Female,1,Mobile,1,24.0,1.1,3,1,1,1,1,25,25.0,1
56472,31,Male,9,Desktop,2,15.5,3.0,4,3,2,0,19,5,125.0,0
56473,46,Female,30,Mobile,3,7.0,4.5,2,5,3,0,40,1,340.0,0
56474,28,Male,7,Mobile,1,18.0,2.5,3,3,1,0,14,6,100.0,0
56475,35,Female,18,Desktop,2,10.5,3.7,3,4,2,0,28,3,185.0,0
56476,40,Male,22,Mobile,3,12.0,4.0,2,5,2,0,33,2,245.0,0
56477,26,Female,5,Mobile,1,20.0,2.1,4,2,1,1,8,9,80.0,1
56478,33,Male,14,Desktop,2,8.0,3.6,3,4,2,0,24,4,150.0,0
56479,47,Female,31,Mobile,3,5.5,4.6,2,5,3,0,39,1,330.0,0
56480,22,Male,3,Mobile,1,22.0,2.3,3,2,1,0,6,10,75.0,0
56481,39,Female,21,Desktop,2,10.2,3.9,4,4,2,0,31,3,215.0,0
56482,29,Male,8,Mobile,3,17.0,2.8,3,3,1,0,13,6,95.0,0
56483,42,Female,26,Mobile,1,9.8,4.2,2,5,2,0,37,2,270.0,0
56484,23,Male,2,Desktop,2,24.0,1.6,3,1,1,1,3,18,40.0,1
56485,35,Female,17,Mobile,3,11.2,3.7,4,4,2,0,27,4,170.0,0
56486,51,Male,38,Desktop,1,4.0,4.9,2,5,3,0,48,1,420.0,0
56487,26,Female,6,Mobile,2,19.5,2.4,3,2,1,0,10,7,85.0,0
56488,33,Male,12,Desktop,3,13.5,3.5,3,3,2,0,21,5,135.0,0
56489,40,Female,23,Mobile,1,10.5,4.0,4,5,2,0,34,2,230.0,0
56490,21,Male,1,Mobile,2,25.5,1.3,3,1,1,1,2,22,35.0,1
56491,37,Female,15,Desktop,3,9.5,3.8,3,4,2,0,25,3,155.0,0
56492,44,Male,29,Mobile,1,8.0,4.3,2,5,3,0,38,1,290.0,0
56493,27,Female,5,Mobile,2,20.5,2.2,4,2,1,1,7,11,75.0,1
56494,30,Male,10,Desktop,3,15.0,3.3,3,3,2,0,17,5,105.0,0
56495,41,Female,24,Mobile,1,11.5,4.1,2,4,2,0,32,3,205.0,0
56496,25,Male,4,Mobile,2,18.5,1.9,3,1,1,1,3,14,45.0,1
56497,38,Female,20,Desktop,3,8.8,4.0,3,5,2,0,30,2,195.0,0
56498,45,Male,28,Mobile,1,10.0,4.3,2,5,3,0,39,1,310.0,0
56499,22,Female,2,Mobile,2,23.5,1.5,3,1,1,1,2,20,30.0,1
56500,32,Male,11,Desktop,3,14.0,3.2,4,3,2,0,18,6,120.0,0
56501,48,Female,36,Mobile,1,6.0,4.7,2,5,3,0,45,1,400.0,0
56502,29,Male,8,Mobile,2,17.5,2.6,3,2,1,0,15,7,110.0,0
56503,34,Female,16,Desktop,3,9.0,3.9,3,4,2,0,26,3,165.0,0
56504,43,Male,25,Mobile,1,10.0,4.1,2,5,2,0,37,2,275.0,0
56505,20,Female,1,Mobile,2,24.0,1.1,3,1,1,1,1,25,25.0,1
56506,31,Male,9,Desktop,3,15.5,3.0,4,3,2,0,19,5,125.0,0
56507,46,Female,30,Mobile,1,7.0,4.5,2,5,3,0,40,1,340.0,0
56508,28,Male,7,Mobile,2,18.0,2.5,3,3,1,0,14,6,100.0,0
56509,35,Female,18,Desktop,3,10.5,3.7,3,4,2,0,28,3,185.0,0
56510,40,Male,22,Mobile,1,12.0,4.0,2,5,2,0,33,2,245.0,0
56511,26,Female,5,Mobile,2,20.0,2.1,4,2,1,1,8,9,80.0,1
56512,33,Male,14,Desktop,3,8.0,3.6,3,4,2,0,24,4,150.0,0
56513,47,Female,31,Mobile,1,5.5,4.6,2,5,3,0,39,1,330.0,0
56514,22,Male,3,Mobile,2,22.0,2.3,3,2,1,0,6,10,75.0,0
56515,39,Female,21,Desktop,3,10.2,3.9,4,4,2,0,31,3,215.0,0
56516,29,Male,8,Mobile,1,17.0,2.8,3,3,1,0,13,6,95.0,0
56517,42,Female,26,Mobile,2,9.8,4.2,2,5,2,0,37,2,270.0,0
56518,23,Male,2,Desktop,3,24.0,1.6,3,1,1,1,3,18,40.0,1
56519,35,Female,17,Mobile,1,11.2,3.7,4,4,2,0,27,4,170.0,0
56520,51,Male,38,Desktop,2,4.0,4.9,2,5,3,0,48,1,420.0,0
56521,26,Female,6,Mobile,3,19.5,2.4,3,2,1,0,10,7,85.0,0
56522,33,Male,12,Desktop,1,13.5,3.5,3,3,2,0,21,5,135.0,0
56523,40,Female,23,Mobile,2,10.5,4.0,4,5,2,0,34,2,230.0,0
56524,21,Male,1,Mobile,3,25.5,1.3,3,1,1,1,2,22,35.0,1
56525,37,Female,15,Desktop,1,9.5,3.8,3,4,2,0,25,3,155.0,0
56526,44,Male,29,Mobile,2,8.0,4.3,2,5,3,0,38,1,290.0,0
56527,27,Female,5,Mobile,3,20.5,2.2,4,2,1,1,7,11,75.0,1
56528,30,Male,10,Desktop,1,15.0,3.3,3,3,2,0,17,5,105.0,0
56529,41,Female,24,Mobile,2,11.5,4.1,2,4,2,0,32,3,205.0,0
56530,25,Male,4,Mobile,3,18.5,1.9,3,1,1,1,3,14,45.0,1
56531,38,Female,20,Desktop,1,8.8,4.0,3,5,2,0,30,2,195.0,0
56532,45,Male,28,Mobile,2,10.0,4.3,2,5,3,0,39,1,310.0,0
56533,22,Female,2,Mobile,3,23.5,1.5,3,1,1,1,2,20,30.0,1
56534,32,Male,11,Desktop,1,14.0,3.2,4,3,2,0,18,6,120.0,0
56535,48,Female,36,Mobile,2,6.0,4.7,2,5,3,0,45,1,400.0,0
56536,29,Male,8,Mobile,3,17.5,2.6,3,2,1,0,15,7,110.0,0
56537,34,Female,16,Desktop,1,9.0,3.9,3,4,2,0,26,3,165.0,0
56538,43,Male,25,Mobile,2,10.0,4.1,2,5,2,0,37,2,275.0,0
56539,20,Female,1,Mobile,3,24.0,1.1,3,1,1,1,1,25,25.0,1
56540,31,Male,9,Desktop,1,15.5,3.0,4,3,2,0,19,5,125.0,0
56541,46,Female,30,Mobile,2,7.0,4.5,2,5,3,0,40,1,340.0,0
56542,28,Male,7,Mobile,3,18.0,2.5,3,3,1,0,14,6,100.0,0
56543,35,Female,18,Desktop,1,10.5,3.7,3,4,2,0,28,3,185.0,0
56544,40,Male,22,Mobile,2,12.0,4.0,2,5,2,0,33,2,245.0,0
56545,26,Female,5,Mobile,3,20.0,2.1,4,2,1,1,8,9,80.0,1
56546,33,Male,14,Desktop,1,8.0,3.6,3,4,2,0,24,4,150.0,0
56547,47,Female,31,Mobile,2,5.5,4.6,2,5,3,0,39,1,330.0,0
56548,22,Male,3,Mobile,3,22.0,2.3,3,2,1,0,6,10,75.0,0
56549,39,Female,21,Desktop,1,10.2,3.9,4,4,2,0,31,3,215.0,0
56550,29,Male,8,Mobile,2,17.0,2.8,3,3,1,0,13,6,95.0,0
307,45,Female,12,Desktop,1,5.2,2.1,2,3,1,1,5,30,50.0,1
308,22,Male,6,Mobile,3,15.0,4.8,4,5,3,0,25,2,250.5,0
309,58,Female,36,Mobile,2,7.1,1.5,3,2,2,0,8,15,75.75,0
310,35,Male,18,Desktop,1,12.3,3.0,2,3,1,1,12,10,120.0,0
311,28,Female,4,Mobile,3,3.5,4.0,3,4,2,0,20,5,200.0,0
312,50,Male,30,Desktop,2,6.0,2.5,4,3,3,0,18,8,180.5,0
313,19,Female,2,Mobile,1,10.5,5.2,2,5,1,0,30,1,300.75,0
314,42,Male,20,Mobile,3,9.2,3.2,3,4,2,1,10,12,100.0,1
315,65,Female,48,Desktop,2,4.0,1.8,3,2,2,0,6,25,60.25,0
316,33,Male,10,Mobile,1,7.5,4.5,4,5,1,0,22,4,220.0,0
317,25,Female,8,Desktop,3,13.0,2.8,2,3,3,0,14,9,140.5,0
318,55,Male,40,Mobile,2,5.5,2.0,3,3,2,1,7,18,70.0,1
319,29,Female,14,Mobile,1,8.0,3.8,3,4,1,0,16,6,160.75,0
320,38,Male,28,Desktop,3,11.5,3.1,4,4,3,0,19,3,190.0,0
321,20,Female,3,Mobile,2,6.5,5.0,2,5,2,0,28,2,280.0,0
